,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,Founded,Trailing PE,Peg Ratio,Trailing EPS,Current Ratio,Quick Ratio,Dividend Yield
12,AVGO,Broadcom,Information Technology,Semiconductors,"San Jose, California",2014-05-08,1961,42.152386,1.37,13.492,2.405,2.052,0.0253
13,BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",2018-06-18,1962,37.40709,2.32,4.655,1.253,1.083,0.0147
14,CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",2017-09-18,1988,75.854836,3.1,2.48,1.701,1.487,
15,CDW,CDW,Information Technology,Technology Distributors,"Lincolnshire, Illinois",2019-09-23,1984,27.551994,1.84,7.116,1.381,1.096,0.010199999
16,CDAY,Ceridian,Information Technology,Application Software,"Minneapolis, Minnesota",2021-09-20,1992,255.2889,33.25,-0.561,1.074,0.089,
17,CSCO,Cisco Systems,Information Technology,Communications Equipment,"San Jose, California",1993-12-01,1984,19.795538,2.4,2.69,1.618,1.408,0.0278
18,CTXS,Citrix Systems,Information Technology,Application Software,"Fort Lauderdale, Florida",1999-12-01,1989,33.796665,2.63,2.518,0.664,0.512,0.0175
19,CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",2006-11-17,1994,23.12835,1.43,3.545,2.108,1.89,0.0117999995
20,GLW,Corning,Information Technology,Electronic Components,"Corning, New York",,1851,37.500004,0.81,1.004,1.771,0.997,0.0255
21,DXC,DXC Technology,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",2017-04-04,2017,7.2953486,0.31,1.52,1.083,0.956,
22,ENPH,Enphase Energy,Information Technology,Electronic Components,"Fremont, California",2021-01-07,2006,232.4132,2.57,1.152,4.494,4.294,
23,FFIV,F5,Information Technology,Communications Equipment,"Seattle, Washington",2010-12-20,1996,43.434456,1.58,5.34,1.158,1.054,
24,FIS,Fidelity National Information Services,Information Technology,Data Processing & Outsourced Services,"Jacksonville, Florida",2006-11-10,1968,305.3889,1.03,0.36,0.793,0.411,0.014199999
25,FISV,Fiserv,Information Technology,Data Processing & Outsourced Services,"Brookfield, Wisconsin",2001-04-02,1984,51.84456,0.96,1.93,1.049,0.212,
26,FLT,Fleetcor,Information Technology,Data Processing & Outsourced Services,"Norcross, Georgia",2018-06-20,2000,23.505058,1.01,9.686,0.975,0.784,
27,FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",2018-10-11,2000,103.10355,5.22,3.322,1.803,1.696,
28,IT,Gartner,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",2017-04-05,1979,41.688473,1.78,8.025,0.726,0.606,
29,GPN,Global Payments,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",2016-04-25,2000,39.763184,0.76,3.167,1.151,0.646,0.007900001
30,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",2015-11-02,2015,18.401535,0.45,0.782,0.954,0.632,0.0334
31,HPQ,HP,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",1974-12-31,1939 (2015),9.852757,0.37,3.192,0.745,0.412,0.0318
32,INTC,Intel,Information Technology,Semiconductors,"Santa Clara, California",1976-12-31,1968,9.60062,2.98,5.158,2.073,1.455,0.028099999
33,IBM,IBM,Information Technology,IT Consulting & Other Services,"Armonk, New York",1957-03-04,1911,21.966686,0.76,5.283,0.836,0.65,0.056500003
34,INTU,Intuit,Information Technology,Application Software,"Mountain View, California",2000-12-05,1983,91.32569,3.85,7.581,2.099,1.764,0.0039
35,IPGP,IPG Photonics,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts",2018-03-07,1990,33.66194,1.06,4.869,7.94,6.144,
36,JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",2018-11-13,1976,35.61367,2.85,4.302,1.142,0.785,0.012
37,JNPR,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California",2006-06-02,1996,71.55556,2.03,0.45,1.671,1.291,0.0248
38,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",2018-11-06,2014,43.96431,2.29,4.427,3.193,2.36,
39,KLAC,KLA Corporation,Information Technology,Semiconductor Equipment,"Milpitas, California",,1975/1977 (1997),23.974344,1.2,17.618,2.435,1.658,0.0099
40,LRCX,Lam Research,Information Technology,Semiconductor Equipment,"Fremont, California",2012-06-29,1980,21.78248,1.14,29.588,3.269,2.349,0.0093
41,MA,Mastercard,Information Technology,Data Processing & Outsourced Services,"Harrison, New York",2008-07-18,1966,41.785976,1.61,8.13,1.331,0.917,0.0052
42,MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",2007-09-07,1989,72.33596,1.03,1.143,1.916,1.106,0.0112
43,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,1978,16.153696,0.4,5.14,3.099,2.171,0.0011999999
44,MSFT,Microsoft,Information Technology,Systems Software,"Redmond, Washington",1994-06-01,1975,38.383488,2.24,8.939,2.165,1.961,0.0072000003
45,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,"Kirkland, Washington",2021-02-12,1997,127.93498,3.12,4.46,4.676,3.628,0.0042
46,MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",,1928 (2011),34.935818,1.97,7.245,1.381,1.131,0.0125
