,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,Founded,Trailing PE,Peg Ratio,Trailing EPS,Current Ratio,Quick Ratio,Dividend Yield
305,MA,Mastercard,Information Technology,Data Processing & Outsourced Services,"Harrison, New York",2008-07-18,1966,41.785976,1.61,8.13,1.331,0.917,0.0052
316,MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",2007-09-07,1989,72.33596,1.03,1.143,1.916,1.106,0.0112
317,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,1978,16.153696,0.4,5.14,3.099,2.171,0.0011999999
318,MSFT,Microsoft,Information Technology,Systems Software,"Redmond, Washington",1994-06-01,1975,38.383488,2.24,8.939,2.165,1.961,0.0072000003
324,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,"Kirkland, Washington",2021-02-12,1997,127.93498,3.12,4.46,4.676,3.628,0.0042
329,MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",,1928 (2011),34.935818,1.97,7.245,1.381,1.131,0.0125
332,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals","Sunnyvale, California",1999-06-25,1992,22.93945,2.09,3.749,1.815,1.679,0.0233
345,NLOK,NortonLifeLock,Information Technology,Application Software,"Tempe, Arizona",2003-03-25,1982,12.690355,1.12,1.496,0.693,0.631,0.02
349,NVDA,Nvidia,Information Technology,Semiconductors,"Santa Clara, California",2001-11-30,1993,101.71138,1.87,3.243,7.145,6.437,0.0005
351,NXPI,NXP,Information Technology,Semiconductors,"Eindhoven, Netherlands",2021-03-22,1953,39.61683,0.96,5.585,1.373,0.955,0.010199999
357,ORCL,Oracle,Information Technology,Application Software,"Austin, Texas",1989-08-31,1977,19.9089,2.33,4.72,2.042,1.898,0.0136
363,PAYX,Paychex,Information Technology,Data Processing & Outsourced Services,"Penfield, New York",,1971,37.199406,4.07,3.36,1.274,0.449,0.0211
364,PAYC,Paycom,Information Technology,Application Software,"Oklahoma City, Oklahoma",2020-01-28,1998,159.4983,4.01,2.95,1.074,0.082,
365,PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,"San Jose, California",2015-07-20,1998,46.552055,2.13,4.159,1.298,0.337,
385,PTC,PTC,Information Technology,Application Software,"Boston, Massachusetts",2021-04-20,1985,29.114143,1.62,4.03,,,
390,QRVO,Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina",2015-06-11,2015,16.071873,0.93,9.656,2.816,2.05,
392,QCOM,Qualcomm,Information Technology,Semiconductors,"San Diego, California",,1985,23.506989,0.57,7.87,1.68,1.338,0.0147
410,CRM,Salesforce,Information Technology,Application Software,"San Francisco, California",2008-09-15,1999,120.61274,6.39,2.497,0.935,0.789,
413,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",2012-07-02,1979,14.831493,0.57,6.795,1.27,0.794,0.0278
416,NOW,ServiceNow,Information Technology,Systems Software,"Santa Clara, California",2019-11-21,2003,619.5875,4.38,1.091,1.131,1.004,
419,SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Woburn, Massachusetts",2015-03-12,2002,17.916388,1.12,8.97,2.522,1.686,0.0139
430,SNPS,Synopsys,Information Technology,Application Software,"Mountain View, California",2017-03-16,1986,74.61956,3.23,4.797,1.184,1.024,
437,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",2011-10-17,2007,24.34443,1.64,6.788,1.56,0.889,0.0121
440,TER,Teradyne,Information Technology,Semiconductor Equipment,"North Reading, Massachusetts",2020-09-21,1960,28.493126,1.66,5.309,3.345,2.534,0.0026
442,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",,1930,25.059065,2.44,7.788,5.63,4.739,0.023599999
450,TRMB,Trimble,Information Technology,Electronic Equipment & Instruments,"Sunnyvale, California",2021-01-21,1978,40.35048,3.21,2.197,1.367,0.958,
453,TYL,Tyler Technologies,Information Technology,Application Software,"Plano, Texas",2020-06-22,1966,143.2366,7.72,3.825,1.076,1.011,
468,VRSN,Verisign,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",2006-02-01,1995,43.639328,5.1,5.523,1.206,1.152,
475,V,Visa,Information Technology,Data Processing & Outsourced Services,"San Francisco, California",2009-12-21,1958,42.0277,1.95,4.838,2.0,1.623,0.0057
489,WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",2009-07-01,1970,48.731407,0.13,1.143,2.007,1.031,
490,WU,Western Union,Information Technology,Data Processing & Outsourced Services,"Englewood, Colorado",2006-09-29,1851,9.309393,1.14,1.81,0.538,0.186,0.052699998
498,XLNX,Xilinx,Information Technology,Semiconductors,"San Jose, California",1999-11-08,1984,84.18703,4.88,2.62,5.576,5.069,
501,ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",2019-12-23,1969,50.87252,3.34,11.931,0.985,0.612,
