,Unnamed: 0,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,Founded,Trailing PE,Peg Ratio,Trailing EPS,Current Ratio,Quick Ratio,Dividend Yield
13,85,COF,Capital One,Financials,Consumer Finance,"Tysons Corner, Virginia",1998-07-01,1994,10.000654,0.14,15.298,,,0.0145000005
14,92,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",2017-03-01,1973,28.432491,9.1,4.555,1.36,0.588,0.0155
15,102,SCHW,Charles Schwab,Financials,Investment Banking & Brokerage,"Westlake, Texas",1997-06-02,1971,35.254528,1.09,2.318,0.371,0.369,0.0095999995
16,106,CB,Chubb,Financials,Property & Casualty Insurance,"Zurich, Switzerland",2010-07-15,1985,15.583793,0.56,12.316,0.355,0.168,0.0173
17,109,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",1997-12-18,1950,6.295746,1.55,18.854,1.225,0.956,0.0217
18,112,C,Citigroup,Financials,Diversified Banks,"New York City, New York",1988-05-31,1998,9.207025,0.25,7.289,,,0.029000001
19,113,CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",2016-01-29,1828,14.076362,-3.08,3.562,,,0.0355
20,116,CME,CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois",2006-08-11,1848,42.439026,5.92,5.33,1.02,0.012,0.0165
21,122,CMA,Comerica,Financials,Diversified Banks,"Dallas, Texas",1995-12-01,1849,14.545603,-0.87,6.14,,,0.0375
22,148,DFS,Discover Financial Services,Financials,Consumer Finance,"Riverwoods, Illinois",2007-07-02,1985,12.988869,0.13,8.893,1.256,1.255,0.0171
23,182,RE,Everest Re,Financials,Reinsurance,"Hamilton, Bermuda",2017-06-19,1973,13.099728,0.1,20.947,1.599,1.033,0.024500001
24,193,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",,1858,16.216019,-3.6,2.722,,,0.0273
25,195,FRC,First Republic Bank,Financials,Regional Banks,"San Francisco, California",2019-01-02,1985,34.214306,1.66,6.402,,,0.0044
